#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 7.547008384701656e-16
-0.020143350149301 , 1.34254342811e-14
-0.0095703709299 , 1.66027967063e-12
0.0011706544360000001 , 3.30713390698e-12
0.012079329161200001 , 4.95398814333e-12
0.023155258794300002 , 6.60084237968e-12
0.034398051204799995 , 8.24769661603e-12
0.04580731653959999 , 9.89455085238e-12
0.057382667219399996 , 1.15414050887e-11
0.48 , 6.02e-11
0.98 , 1.04e-10
1.33 , 1.3e-10
1.98 , 1.72e-10
2.48 , 2.02e-10
2.98 , 2.29e-10
3.48 , 2.55e-10
3.98 , 2.79e-10
