#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 4.3673773120235397e-11
-1.09 , 1.31251242005e-09
-1.0891260851384141 , 1.32063304906e-09
-1.0868401226979 , 1.32875367808e-09
-1.0831442731976901 , 1.33687430709e-09
-1.0780406916272 , 1.34499493611e-09
-1.0715315275082 , 1.35311556512e-09
-1.0636189248833001 , 1.36123619414e-09
-1.0543050223494002 , 1.36935682315e-09
-0.5900000000000001 , 1.52e-09
-0.09000000000000008 , 1.61e-09
0.26 , 1.66e-09
0.9099999999999999 , 1.74e-09
1.41 , 1.79e-09
1.91 , 1.84e-09
2.41 , 1.88e-09
2.91 , 1.92e-09
