#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 7.575204275132449e-15
-0.11001692236401141 , 8.75008882391e-14
-0.10602893664269 , 3.14431545989e-11
-0.10133455267292 , 6.27988083095e-11
-0.0959339199902 , 9.41544620201e-11
-0.0898271880136 , 1.25510115731e-10
-0.0830145061912 , 1.56865769441e-10
-0.07549602391310001 , 1.88221423152e-10
-0.06727189039459999 , 2.19577076863e-10
0.39 , 1.01e-09
0.89 , 1.47e-09
1.24 , 1.73e-09
1.89 , 2.14e-09
2.39 , 2.4e-09
2.89 , 2.65e-09
3.39 , 2.87e-09
3.89 , 3.08e-09
