#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 9.36152430113407e-10
-1.11 , 8.54002522159e-09
-1.1075211887504002 , 8.58145229408e-09
-1.1032041647844002 , 8.62287936658e-09
-1.0970496939693002 , 8.66430643907e-09
-1.0890585415758 , 8.70573351157e-09
-1.0792314722488001 , 8.74716058406e-09
-1.0675692501821001 , 8.78858765656e-09
-1.0540726390458002 , 8.83001472905e-09
-0.6100000000000001 , 9.46e-09
-0.1100000000000001 , 9.84e-09
0.24 , 1.01e-08
0.8899999999999999 , 1.04e-08
1.39 , 1.06e-08
1.89 , 1.08e-08
2.3899999999999997 , 1.1e-08
2.8899999999999997 , 1.12e-08
