#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 1.1744118943372182e-13
-0.0100578066537855 , 5.54160057983e-12
-0.00860561864625 , 8.455775943e-12
-0.00714441651304 , 1.13699513062e-11
-0.00567420054518 , 1.42841266693e-11
-0.00419497099007 , 1.71983020325e-11
-0.00270672809507 , 2.01124773957e-11
-0.001209472151240001 , 2.30266527589e-11
0.00029679659400000044 , 2.5940828122e-11
0.49 , 6e-10
0.99 , 9.59e-10
1.34 , 1.16e-09
1.99 , 1.49e-09
2.49 , 1.7e-09
2.99 , 1.9e-09
3.49 , 2.08e-09
3.99 , 2.25e-09
