#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 1.0337937281831429e-11
-0.2700168765836861 , 5.51400240721e-10
-0.269542907578871 , 5.76926067353e-10
-0.26819872892112 , 6.02451893986e-10
-0.26598476989195 , 6.27977720618e-10
-0.2629014595109 , 6.53503547251e-10
-0.25894922618640004 , 6.79029373883e-10
-0.25412849791930003 , 7.04555200516e-10
-0.24843970227400003 , 7.30081027148e-10
0.22999999999999998 , 1.4e-09
0.73 , 1.74e-09
1.08 , 1.93e-09
1.73 , 2.23e-09
2.23 , 2.43e-09
2.73 , 2.61e-09
3.23 , 2.78e-09
3.73 , 2.94e-09
