#delta(loglike), fluxes [ph/cm^2/s]
4.10201027989e-06, 1.695907733899598e-09
0.000483049661852, 1.7022660963935742e-09
0.00176399649354, 1.7086244588875499e-09
0.0038463853416, 1.71498282137751e-09
0.0067296596244, 1.7213411838714857e-09
0.010413263517, 1.7276995463654619e-09
0.0148966417764, 1.7340579088594376e-09
0.0201792399748, 1.7404162713534137e-09
0.5, 1.9156626506024096e-09
1.0, 2.004016064257028e-09
1.35, 2.056224899598393e-09
2.0, 2.1325301204819274e-09
2.5, 2.184738955823293e-09
3.0, 2.23293172690763e-09
3.5, 2.2771084337349393e-09
4.0, 2.3172690763052206e-09
