#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 4.5196348992617315e-15
-0.61 , 2.57758061385e-13
-0.5989551860251 , 3.19850909407e-11
-0.5862554076733 , 6.371242382e-11
-0.5719014862838 , 9.54397566994e-11
-0.5558942424972 , 1.27167089579e-10
-0.5382344962412 , 1.58894422458e-10
-0.518923066745 , 1.90621755337e-10
-0.497960772583 , 2.22349088217e-10
-0.10999999999999999 , 6e-10
0.39 , 9.06e-10
0.7400000000000001 , 1.08e-09
1.3900000000000001 , 1.34e-09
1.8900000000000001 , 1.52e-09
2.39 , 1.68e-09
2.89 , 1.83e-09
3.39 , 1.97e-09
